orderid,bikeid,userid,start_time,start_location_x,start_location_y,end_time,end_location_x,end_location_y
1152664,1150,8971,2016-08-04 22:04,121.41745,31.20961,2016-08-04 22:10,121.42106,31.21435
1346615,1150,12808,2016-08-13 18:42,121.44002,31.19662,2016-08-13 18:59,121.42064,31.21389
935191,1152,5775,2016-08-16 12:38,121.45645,31.20789,2016-08-16 12:44,121.4518,31.20818
1680576,1155,15478,2016-08-26 15:04,121.45541,31.18476,2016-08-26 15:23,121.47167,31.19712
290742,1155,13174,2016-08-24 12:05,121.47062,31.19733,2016-08-24 12:19,121.45588,31.18464
839253,1157,13973,2016-08-31 10:38,121.45825,31.20156,2016-08-31 10:46,121.46053,31.20959
624793,1164,13130,2016-08-15 11:28,121.45735,31.19016,2016-08-15 11:45,121.45493,31.19538
499509,1175,7392,2016-08-01 14:54,121.53451,31.28873,2016-08-01 14:56,121.53055,31.28859
585326,1185,2350,2016-08-20 17:09,121.4122,31.22853,2016-08-20 17:18,121.41757,31.21766
357732,1188,7207,2016-08-07 17:37,121.46139,31.16882,2016-08-07 17:57,121.46744,31.18743
447330,1188,14892,2016-08-20 14:55,121.46566,31.19403,2016-08-20 15:08,121.48161,31.20355
1769594,1189,12874,2016-08-26 19:04,121.46506,31.20959,2016-08-26 19:21,121.4593,31.21155
1360217,1190,7703,2016-08-12 20:02,121.47772,31.2102,2016-08-12 20:09,121.48042,31.20452
339753,1214,10015,2016-08-29 10:44,121.4498,31.29498,2016-08-29 10:58,121.46046,31.29625
342614,1214,1841,2016-08-21 12:03,121.45104,31.30771,2016-08-21 12:09,121.46067,31.30777
1354502,1220,7842,2016-08-14 19:13,121.37113,31.21697,2016-08-14 19:26,121.38577,31.21445
1592771,1221,10842,2016-08-14 22:27,121.39156,31.21446,2016-08-14 23:11,121.36622,31.21421
1622889,1226,9956,2016-08-06 19:48,121.47169,31.20924,2016-08-06 20:15,121.454,31.20645
1453545,1229,5526,2016-08-13 19:40,121.49358,31.31523,2016-08-13 19:58,121.5096,31.30491
1412997,1229,8879,2016-08-12 21:49,121.48816,31.32092,2016-08-12 21:56,121.49312,31.31464
1723925,1229,6035,2016-08-31 21:24,121.5072,31.3113,2016-08-31 21:36,121.49371,31.31541
1415555,1229,8723,2016-08-19 19:57,121.49389,31.31566,2016-08-19 20:14,121.51127,31.30375
1792505,1229,16698,2016-08-24 22:09,121.49085,31.31954,2016-08-24 22:13,121.49326,31.31455
34497,1231,16199,2016-08-25 03:39,121.45471,31.19046,2016-08-25 03:47,121.45689,31.19853
84446,1233,7605,2016-08-07 07:18,121.3255,31.15024,2016-08-07 07:25,121.33713,31.14799
658010,1244,8068,2016-08-02 21:38,121.46513,31.19664,2016-08-02 21:45,121.47006,31.20289
453265,1244,11348,2016-08-10 17:19,121.46508,31.19629,2016-08-10 17:25,121.4617,31.20186
1364037,1245,5419,2016-08-15 21:38,121.45769,31.18426,2016-08-15 21:56,121.46642,31.2049
280414,1247,7862,2016-08-13 07:17,121.30956,31.28922,2016-08-13 07:25,121.32031,31.29442
1144259,1250,2863,2016-08-14 17:24,121.50312,31.09468,2016-08-14 17:54,121.49731,31.08665
555156,1251,12147,2016-08-13 10:12,121.46924,31.20416,2016-08-13 10:22,121.46716,31.21671
969233,1251,17230,2016-08-27 15:02,121.47439,31.21131,2016-08-27 15:15,121.47011,31.20843
1106863,1251,12330,2016-08-13 16:22,121.47136,31.19782,2016-08-13 16:28,121.4705,31.20376
614562,1251,958,2016-08-29 15:19,121.4722,31.21048,2016-08-29 15:31,121.46747,31.2035
89976,1255,10083,2016-08-14 00:47,121.43894,31.21063,2016-08-14 00:57,121.45295,31.20608
273422,1257,10236,2016-08-25 08:47,121.43911,31.1984,2016-08-25 08:51,121.43537,31.1923
834254,1257,5962,2016-08-16 11:08,121.43572,31.19325,2016-08-16 11:14,121.4333,31.18895
141052,1265,7706,2016-08-02 10:45,121.47683,31.19894,2016-08-02 10:49,121.47325,31.19799
1669560,1266,16858,2016-08-26 14:39,121.48961,31.24757,2016-08-26 14:55,121.48693,31.2345
684550,1267,440,2016-08-02 23:43,121.44099,31.24049,2016-08-02 23:46,121.43721,31.23756
1573268,1267,5587,2016-08-19 22:52,121.44353,31.24844,2016-08-19 22:58,121.44124,31.23994
927064,1267,15194,2016-08-25 18:53,121.44654,31.23355,2016-08-25 19:16,121.44451,31.2457
557625,1268,14375,2016-08-20 16:43,121.47934,31.19864,2016-08-20 17:00,121.47098,31.20345
1560176,1269,8178,2016-08-06 16:05,121.55383,31.29367,2016-08-06 16:13,121.55057,31.29069
1041961,1274,10783,2016-08-19 16:50,121.45052,31.30874,2016-08-19 17:07,121.4676,31.31693
45494,1280,2678,2016-08-03 08:06,121.4444,31.20835,2016-08-03 08:13,121.44313,31.21533
1288655,1280,13429,2016-08-17 17:10,121.44416,31.21676,2016-08-17 17:14,121.44448,31.21141
302378,1290,7922,2016-08-07 15:57,121.51772,31.29379,2016-08-07 16:10,121.52091,31.30529
334335,1291,1143,2016-08-01 10:39,121.45463,31.20618,2016-08-01 10:44,121.45872,31.20582
9551,1299,4615,2016-08-09 05:56,121.49928,31.21347,2016-08-09 06:13,121.47615,31.229
211346,1299,12627,2016-08-22 05:59,121.5004,31.21207,2016-08-22 06:18,121.47664,31.23008
1670828,1307,11418,2016-08-27 23:39,121.63676,31.18906,2016-08-28 00:28,121.5622,31.18457
341025,1309,5402,2016-08-23 07:55,121.44403,31.19488,2016-08-23 08:00,121.44902,31.19835
847782,1309,16492,2016-08-23 11:21,121.45189,31.19802,2016-08-23 11:24,121.44559,31.19592
446319,1312,10308,2016-08-11 10:05,121.44244,31.25009,2016-08-11 10:09,121.44715,31.24722
342728,1312,6799,2016-08-21 20:06,121.43946,31.25487,2016-08-21 20:09,121.44283,31.25174
114371,1312,2960,2016-08-02 10:11,121.44263,31.25019,2016-08-02 10:14,121.44759,31.2467
553730,1312,7673,2016-08-04 10:05,121.44226,31.25199,2016-08-04 10:10,121.44703,31.24668
1246870,1312,10128,2016-08-08 19:18,121.44359,31.25108,2016-08-08 19:22,121.44192,31.25554
1335067,1318,4609,2016-08-23 20:02,121.43484,31.21019,2016-08-23 20:47,121.45524,31.22805
1112644,1323,7904,2016-08-23 15:49,121.47452,31.20248,2016-08-23 15:57,121.47197,31.20729
1360857,1325,6523,2016-08-22 17:47,121.48404,31.20896,2016-08-22 18:17,121.44229,31.18547
1172991,1326,8677,2016-08-17 14:51,121.44817,31.23131,2016-08-17 15:02,121.45617,31.22934
1306731,1330,1003,2016-08-12 18:46,121.45505,31.21175,2016-08-12 18:51,121.45972,31.20857
310889,1331,10184,2016-08-16 07:54,121.44638,31.18608,2016-08-16 08:21,121.4562,31.21594
695188,1344,5603,2016-08-10 20:44,121.61822,31.30073,2016-08-10 20:54,121.6092,31.29294
1117515,1348,14187,2016-08-19 17:28,121.47181,31.21007,2016-08-19 17:42,121.45583,31.21569
915178,1353,3407,2016-08-23 20:15,121.44884,31.23319,2016-08-23 20:25,121.46099,31.23323
748849,1365,6686,2016-08-03 22:26,121.45594,31.17952,2016-08-03 22:33,121.45747,31.17091
633382,1366,6882,2016-08-02 21:08,121.47338,31.21773,2016-08-02 21:13,121.47646,31.20854
964574,1373,14881,2016-08-19 15:33,121.47025,31.20982,2016-08-19 15:53,121.46889,31.20734
1076178,1373,473,2016-08-24 08:37,121.45347,31.33677,2016-08-24 08:48,121.44261,31.33163
368398,1377,9045,2016-08-23 08:03,121.47661,31.27496,2016-08-23 08:06,121.47833,31.27106
180785,1379,7491,2016-08-10 08:38,121.41982,31.19616,2016-08-10 08:43,121.4223,31.20429
409895,1380,526,2016-08-25 18:48,121.47578,31.20821,2016-08-25 18:56,121.48761,31.21458
588408,1380,3847,2016-08-23 09:07,121.48357,31.21483,2016-08-23 09:15,121.47337,31.21018
1466199,1383,6250,2016-08-08 22:15,121.44707,31.15771,2016-08-08 22:44,121.46093,31.11639
14847,1389,3865,2016-08-03 07:13,121.41458,31.2657,2016-08-03 07:18,121.42205,31.26326
702041,1391,6041,2016-08-20 18:31,121.51645,31.29982,2016-08-20 19:19,121.54229,31.2967
1521981,1404,10015,2016-08-24 12:06,121.45622,31.1956,2016-08-24 12:25,121.44172,31.19309
1699579,1405,14675,2016-08-30 22:29,121.46908,31.25707,2016-08-31 02:46,121.49292,31.25525
296357,1405,13687,2016-08-20 11:33,121.49111,31.25594,2016-08-20 11:43,121.49704,31.261
1542965,1405,15756,2016-08-22 22:54,121.48315,31.2536,2016-08-23 00:27,121.48314,31.25364
291992,1405,9341,2016-08-18 10:56,121.49151,31.25442,2016-08-18 11:05,121.49555,31.24782
1191767,1410,5972,2016-08-23 17:39,121.46781,31.21249,2016-08-23 17:57,121.45694,31.22259
1120456,1417,17011,2016-08-29 22:00,121.54642,31.24084,2016-08-29 22:11,121.54267,31.244
262084,1420,4784,2016-08-10 10:24,121.49683,31.17004,2016-08-10 10:28,121.50272,31.16909
401300,1420,1567,2016-08-03 17:13,121.48904,31.21013,2016-08-03 17:24,121.48643,31.22662
607135,1420,6169,2016-08-02 20:22,121.4751,31.1989,2016-08-02 20:27,121.47104,31.1953
599266,1421,13142,2016-08-16 08:57,121.45048,31.17729,2016-08-16 09:04,121.45673,31.18431
362275,1421,12215,2016-08-14 09:04,121.45016,31.17871,2016-08-14 09:09,121.45568,31.18351
147935,1423,9728,2016-08-29 08:17,121.37944,31.2822,2016-08-29 08:23,121.37699,31.27131
1362704,1424,7754,2016-08-30 16:44,121.44301,31.17082,2016-08-30 16:48,121.43855,31.17339
101008,1427,4802,2016-08-03 08:49,121.46095,31.2028,2016-08-03 08:53,121.4642,31.19875
776246,1428,4811,2016-08-08 14:50,121.4631,31.21084,2016-08-08 15:01,121.46994,31.22064
501901,1429,8915,2016-08-15 09:33,121.33431,31.21916,2016-08-15 09:42,121.34894,31.22128
1392227,1437,11536,2016-08-13 19:00,121.47148,31.21061,2016-08-14 16:12,121.47643,31.19835
102673,1437,7948,2016-08-01 07:54,121.4765,31.19989,2016-08-01 08:04,121.47016,31.20982
1620339,1440,6186,2016-08-30 19:04,121.48341,31.25719,2016-08-30 19:19,121.4782,31.27839
593278,1440,4051,2016-08-03 18:56,121.49259,31.27217,2016-08-03 19:19,121.47708,31.27775
644622,1446,4416,2016-08-10 19:47,121.45133,31.27912,2016-08-10 19:52,121.44381,31.2802
378068,1457,13390,2016-08-15 08:29,121.38511,31.20334,2016-08-15 08:31,121.38163,31.20578
549849,1460,8620,2016-08-10 18:29,121.38718,31.1214,2016-08-10 18:36,121.38683,31.1311
1140064,1467,11970,2016-08-23 16:42,121.5235,31.32622,2016-08-23 16:45,121.52366,31.32461
1231640,1468,10795,2016-08-13 17:40,121.45263,31.23304,2016-08-13 17:45,121.44919,31.23771
1277228,1468,9173,2016-08-13 17:58,121.44934,31.23617,2016-08-13 18:08,121.45813,31.22869
1123225,1475,3603,2016-08-31 13:44,121.38462,31.1647,2016-08-31 13:47,121.38658,31.1633
193091,1492,1986,2016-08-07 12:04,121.49444,31.20774,2016-08-07 12:23,121.48806,31.20357
1770606,1494,5545,2016-08-24 19:52,121.34845,31.20972,2016-08-24 21:00,121.37252,31.24823
1045644,1496,6149,2016-08-09 22:05,121.44005,31.23797,2016-08-09 22:18,121.43251,31.23014
1099060,1499,7320,2016-08-11 19:29,121.31668,31.31003,2016-08-11 19:44,121.32126,31.29649
1060669,1499,3329,2016-08-19 17:01,121.3165,31.31255,2016-08-19 17:22,121.31095,31.30864
127038,1501,16194,2016-08-24 00:45,121.49784,31.26302,2016-08-24 01:05,121.49681,31.27539
703177,1503,5190,2016-08-05 18:33,121.44111,31.30636,2016-08-05 18:42,121.43985,31.31786
415888,1504,4113,2016-08-18 14:52,121.54514,31.27907,2016-08-18 15:08,121.53849,31.29164
1480925,1506,10891,2016-08-31 17:42,121.4764,31.23689,2016-08-31 18:00,121.48266,31.25154
196150,1509,7616,2016-08-02 13:11,121.44813,31.26845,2016-08-02 13:17,121.45847,31.26736
681873,1509,6307,2016-08-21 18:31,121.45607,31.27193,2016-08-21 18:33,121.45877,31.26719
138711,1509,6450,2016-08-07 09:54,121.45513,31.27189,2016-08-07 10:06,121.45992,31.26997
421981,1514,2188,2016-08-29 12:17,121.4824,31.2163,2016-08-29 12:23,121.48695,31.2117
1402084,1514,15238,2016-08-28 17:19,121.44356,31.18118,2016-08-28 17:35,121.42735,31.18434
568357,1522,7848,2016-08-14 11:06,121.53295,31.27639,2016-08-14 11:17,121.52688,31.28355
537119,1522,719,2016-08-07 21:02,121.52817,31.27761,2016-08-07 21:08,121.52675,31.28409
570541,1525,10141,2016-08-15 10:24,121.46874,31.20561,2016-08-15 10:37,121.45812,31.2114
1475005,1525,15200,2016-08-24 11:18,121.45822,31.21089,2016-08-25 10:31,121.45794,31.21113
628596,1525,4318,2016-08-09 17:10,121.4703,31.20443,2016-08-09 17:22,121.45778,31.21093
153605,1536,9954,2016-08-10 08:17,121.51386,31.18185,2016-08-10 08:37,121.49315,31.18441
298521,1539,15596,2016-08-29 09:51,121.45245,31.28911,2016-08-29 10:03,121.44266,31.28032
569740,1540,1024,2016-08-19 08:56,121.45155,31.27898,2016-08-19 09:03,121.44273,31.27929
270770,1540,369,2016-08-29 09:20,121.45289,31.27738,2016-08-29 09:27,121.4426,31.27993
234954,1541,7758,2016-08-10 09:33,121.54367,31.2741,2016-08-10 09:39,121.53928,31.27919
458373,1541,4329,2016-08-08 09:39,121.54484,31.27483,2016-08-08 09:44,121.53965,31.27856
582966,1541,6001,2016-08-19 08:59,121.39312,31.19444,2016-08-19 09:03,121.39131,31.19832
375803,1542,3258,2016-08-01 12:12,121.44185,31.15237,2016-08-01 12:15,121.44246,31.15691
1529485,1544,6228,2016-08-06 13:27,121.4739,31.19175,2016-08-06 13:33,121.48137,31.19553
898296,1547,2443,2016-08-19 13:38,121.45058,31.22515,2016-08-19 13:49,121.44124,31.24159
820892,1552,13706,2016-08-19 12:21,121.43075,31.2205,2016-08-19 12:26,121.42501,31.2214
858590,1553,16732,2016-08-27 14:10,121.4855,31.21796,2016-08-27 14:32,121.50743,31.21398
