x,y
116.545541,39.760626
113.353270,23.151973
104.100253,26.220934
121.569551,31.114560
121.492465,31.286000
119.033030,33.604092
121.428243,31.229455
118.312373,32.304662
110.255812,20.014520
114.210543,30.561761
112.997012,28.208926
114.236637,22.710246
119.275014,26.076494
121.426965,31.183271
113.939902,22.522853
120.746794,31.265272
106.570565,29.572020
116.997127,36.661131
110.213540,25.249082
116.998414,39.753771
114.289313,30.582030
107.025781,33.075489
111.997435,21.868621
118.830072,32.020014
117.187543,39.136574
119.261513,25.955382
113.365535,40.046573
103.862877,30.685580
109.512053,18.277852
113.309818,33.739999
113.110348,23.040036
117.201846,39.185959
118.573152,24.820442
120.308474,31.590623
121.578492,38.938221
118.476101,24.931725
112.583283,37.824704
120.012653,30.241063
115.465006,35.234502
118.131470,24.506814
121.501624,31.238655
114.284052,23.164677
120.436212,30.238581
120.386582,36.289333
110.375452,20.017275
121.381093,31.243942
113.111991,23.031221
111.516566,36.085452
120.519715,31.261716
121.458882,30.914581
117.492824,38.984043
113.269348,22.776221
118.782653,32.069051
114.726688,23.747166
113.340002,40.063372
110.350251,19.999871
115.984075,39.702843
117.154553,31.712883
118.588636,24.904277
121.382981,31.245790
122.262314,43.614403
119.768482,49.210381
121.455801,31.041032
114.086071,22.543296
104.055405,30.638862
113.257393,23.133014
118.776737,32.110748
119.335404,26.062664
116.752309,36.552809
113.614269,23.123814
113.339704,23.135302
114.338090,29.828261
122.133685,40.272553
117.745920,24.621198
113.254002,22.838156
108.873383,34.237722
114.114582,22.542264
113.208301,23.094794
121.601146,38.907331
108.292717,22.818319
104.103945,30.712864
117.303393,39.152476
111.318429,23.471841
123.397485,41.793132
121.452483,31.298747
121.203429,31.412678
116.189732,39.906556
121.491521,31.173782
113.590019,23.531334
118.899933,31.911793
117.204704,34.264321
113.908685,22.559617
114.118333,22.544605
117.937534,24.565598
116.371621,39.955451
117.676280,36.205553
120.617731,31.137861
119.949471,31.765093
104.267432,30.568664
121.622300,31.257123
120.995203,28.057103
120.522342,36.859934
113.447825,23.104534
120.786904,31.598073
113.890294,22.670700
118.160594,24.475031
113.322039,23.181507
113.533466,23.090208
120.127030,33.359544
120.180922,35.968482
121.508961,31.296641
121.459363,31.250516
114.420254,22.625270
113.037841,22.519224
121.487754,31.394381
113.890871,22.782382
113.941904,22.535149
113.017011,23.711606
118.191860,24.475421
118.782397,32.050340
117.167804,39.156642
111.617192,21.764040
113.271501,23.135274
118.883145,32.091891
113.273419,23.096210
112.952490,28.195310
121.339300,30.712894
121.482033,31.290722
114.347762,30.588642
118.738492,36.873204
121.484044,31.237254
121.529382,31.279103
117.497445,38.729229
114.554823,38.014134
116.384820,39.968000
123.416840,41.868792
119.916735,32.495371
121.579632,31.255525
117.068356,35.554864
113.928563,22.929381
118.113033,24.494772
113.818752,23.283953
118.595082,24.567241
121.564624,31.174434
104.771061,31.466285
110.466865,19.240402
118.988329,32.120584
118.763376,34.095958
118.115613,24.432324
118.217733,33.458894
103.667818,36.484196
120.165049,35.931263
113.229969,22.685589
114.225354,30.657665
119.066963,33.591046
113.160072,23.069553
114.136961,22.613462
110.314655,19.996972
119.499662,25.956084
104.250720,23.368107
106.440495,29.828544
113.395095,23.060293
118.750525,32.018903
125.155049,42.936013
123.396634,41.729373
115.869149,28.702909
114.125272,22.573166
117.164739,39.077802
121.412284,29.664584
114.041865,22.601408
118.366556,31.315272
126.240205,45.621309
120.610333,31.331623
118.844461,32.339681
116.399462,39.853390
120.040894,30.292021
113.238574,23.125324
120.611270,31.329389
106.515181,29.533843
114.492916,24.369187
109.520923,18.222056
113.773379,23.033564
102.723291,25.016089
116.339715,39.732332
116.599822,39.901624
114.714830,22.974273
123.904384,41.863534
108.869313,34.171644
121.493021,31.299332
116.414250,39.918870
113.328343,23.161121
108.379314,30.806983
121.586114,31.312713
116.503181,39.989152
117.366508,25.941833
119.258161,26.062212
115.501018,35.274241
111.781082,37.138901
116.334800,40.057773
101.726115,26.508314
112.536011,32.997254
117.379359,34.363972
116.727584,39.525921
116.565674,39.798994
120.073090,29.301634
120.623749,31.353305
121.372903,31.217235
116.340393,39.913893
113.269540,23.085650
113.233538,23.078649
110.340972,20.039774
113.943299,22.760543
120.153763,30.260227
113.268468,23.123695
118.565256,24.940473
121.779923,39.047431
117.179614,39.114353
114.255151,30.617799
117.289553,31.798059
116.352973,39.990222
116.977894,36.652170
104.042764,30.516684
121.633876,38.917682
121.265121,38.810553
121.292924,31.211612
113.602550,24.829825
106.495094,29.582883
121.361253,28.392054
113.364443,23.141002
113.260005,23.195332
118.419117,24.696744
114.041800,22.693533
116.515954,39.921036
110.287872,20.012554
119.024164,33.587331
108.932783,34.340270
106.566394,29.528711
116.698974,39.504064
121.225873,31.231503
123.390262,41.828209
121.275452,31.108593
119.592071,31.730466
118.999900,32.677944
119.631474,29.061673
113.126432,23.108003
113.204904,23.177410
121.588725,31.071810
126.676148,45.782551
116.459915,39.865540
121.385944,37.547580
123.403373,41.793572
113.117931,23.032826
103.500301,29.594745
121.245457,31.392773
120.347372,30.306620
112.979390,28.254497
119.515095,25.957991
114.166237,22.838931
121.420645,29.656354
113.856751,34.031141
113.211297,22.863606
113.952185,22.542561
119.972663,31.813694
114.274160,30.582001
118.137643,24.609561
113.999504,22.589003
119.269251,26.033744
116.948901,33.652841
116.363723,39.867854
119.958951,30.051812
121.554400,38.919883
113.325329,23.198333
120.809944,27.932167
113.313678,23.100728
100.234765,26.875771
114.560153,38.152178
117.308241,39.088953
120.103401,29.327864
119.037831,25.445896
120.784833,30.747441
103.621659,36.096754
104.014940,30.662922
117.028734,36.664642
112.551580,37.850434
105.445271,28.898222
113.060793,22.603705
114.519181,36.601859
121.780402,39.048195
120.269032,31.452086
121.393720,31.197010
117.069716,36.163996
113.324297,23.119018
116.755534,23.444964
113.388192,23.005215
113.923383,22.543443
116.020648,28.673872
121.136105,31.030275
115.513028,38.823285
116.475229,23.233262
120.851015,31.112073
114.115152,22.606804
115.600710,38.863811
116.088467,43.940297
115.913010,39.049442
113.553370,22.224154
118.791966,25.025486
113.176181,22.095854
114.515933,22.750563
115.898271,28.674620
120.294980,31.588332
119.785138,36.515149
113.300218,40.088494
113.210243,23.382773
110.296662,25.275890
115.892103,28.675553
121.557903,31.226167
117.206385,39.134956
113.309344,22.820475
120.266692,31.562422
114.139770,22.548250
113.403978,23.121393
121.190401,37.567274
106.920604,27.675053
113.348325,23.104623
110.346711,20.015811
112.541591,37.889732
120.188711,30.195812
121.541734,31.042691
123.058328,41.106661
121.315966,31.146826
113.923960,22.641778
125.119255,46.585138
113.820124,22.669452
121.477643,31.224751
102.708961,25.007975
120.162981,30.276701
114.234706,22.701611
113.836057,23.275496
116.472896,39.943905
101.992364,23.598392
113.751790,23.020675
113.945869,22.560620
120.644854,28.009852
113.318104,23.153331
121.191342,31.271982
118.093084,24.471122
112.985712,28.202213
121.468221,31.264030
110.283322,21.600926
114.476548,22.765914
116.894510,31.920375
114.693893,23.738452
104.069720,30.655218
100.803691,22.005118
116.323373,39.967795
113.052919,23.056899
113.125340,23.216883
113.454623,30.362650
113.206833,22.840722
120.403773,36.067543
114.526231,36.607569
121.469094,31.238610
113.216820,22.906023
117.205794,39.117704
114.124813,22.558242
116.808298,26.175572
116.731063,23.384713
114.267104,30.432373
117.342061,39.029339
123.399333,41.788687
117.217633,39.113373
113.682511,34.754041
118.560783,24.908624
101.731126,26.573886
113.387223,23.017439
112.942838,28.178879
115.659687,34.391291
113.624750,34.753813
103.802254,25.494433
114.223007,22.689200
121.581214,31.250322
113.235713,23.125414
113.273472,23.102488
119.850892,31.363844
112.327576,22.185473
114.207396,22.697468
115.332932,22.950650
