x,y
115.649940,37.740271
115.663431,23.299871
108.910435,34.156991
114.071229,22.541785
113.916093,22.484059
117.807773,30.927361
103.865350,36.076127
117.016054,39.376107
123.358924,41.781095
114.124703,22.574314
120.361675,36.105837
121.163130,31.295743
113.987902,22.593331
103.756846,25.519896
110.979275,30.821891
114.513208,29.600577
120.298612,31.923934
110.769280,19.596736
116.784298,32.575792
117.100039,36.658402
120.705421,27.918314
120.169163,29.332685
113.924693,22.508566
108.812390,34.301376
120.142611,32.509008
121.446276,31.263406
116.480650,39.801242
118.338178,35.065313
118.778090,32.069243
113.252534,22.837853
115.501715,38.874041
113.295904,23.233721
120.836153,30.075611
116.978985,36.649304
117.251411,39.122443
113.159250,22.782926
117.074918,36.653447
123.093161,41.210882
116.010041,29.676665
120.706796,31.925836
113.256602,23.172774
113.858850,22.760141
115.868716,39.325908
118.766436,34.098706
116.415591,40.059832
113.265004,23.180922
114.970207,30.086686
108.881874,34.232721
116.866191,36.494394
120.033544,36.264455
121.448150,31.312591
118.488153,36.685423
120.667076,31.315288
116.934659,34.736282
113.349307,23.245287
113.579457,22.255562
111.998672,27.700348
114.690980,38.346749
121.800243,39.025832
115.627604,33.183290
116.768945,23.461103
106.709729,26.568774
117.489412,38.844763
119.941537,37.181548
113.843466,27.635992
120.192037,30.284924
120.781432,30.756433
102.709230,25.067202
118.879094,32.113714
121.164619,30.886172
113.842819,22.798519
108.270613,22.805561
124.364938,40.110608
117.185491,34.264873
121.496274,31.169644
121.586471,38.896468
113.243028,23.143348
116.666153,39.883838
114.258354,30.728844
119.313654,35.119275
120.742301,31.298600
119.826962,32.234403
106.456878,29.541149
116.662792,23.389757
113.309395,33.739040
112.714136,38.730464
122.068309,40.994130
118.633756,32.063757
111.349774,30.758282
108.880525,34.194504
116.357014,39.953162
121.412252,31.354723
110.320478,20.026124
117.407951,40.044634
117.087718,36.180946
125.351346,43.864926
116.210166,39.752906
113.926358,22.523815
117.217264,39.165793
101.708643,36.547455
119.976913,31.749844
114.037063,22.645843
93.501590,42.845504
113.370760,23.123627
116.460621,39.895464
121.610825,31.293414
113.358284,23.101214
87.470364,43.899667
112.978403,28.151935
114.083738,22.538366
105.902256,34.562761
117.163371,39.158424
108.762102,34.437436
128.251236,43.372777
120.609538,30.898485
116.386805,39.843962
108.812106,23.215103
114.073475,32.123305
113.298438,22.210002
124.098095,41.302044
112.898735,23.165915
114.034776,22.619782
114.077615,22.528289
114.306864,30.535396
110.156791,22.632710
113.816067,23.275640
112.832281,34.176655
126.591187,45.702759
111.298615,26.398090
121.511222,31.198130
113.543125,23.111985
121.000420,31.854495
114.868734,30.442536
116.594102,40.046970
121.417499,31.294370
121.112961,31.159442
113.081241,22.628501
121.451543,37.478971
120.896658,31.967095
121.220064,31.017061
114.068411,22.534402
106.474557,29.543142
114.273829,30.579753
121.589211,38.989413
117.029023,28.235262
120.570367,31.871345
118.757549,31.946410
119.176103,31.937922
112.864019,27.225531
113.247834,23.124194
120.247700,30.040235
104.250803,23.368044
119.351046,33.212160
114.059649,22.572036
116.295499,23.028565
102.739514,25.055023
120.621990,31.353302
116.602025,39.924114
111.716103,29.041273
120.148473,36.019313
117.100037,36.658398
107.335204,30.334062
114.421174,30.506564
112.856405,22.940059
113.239185,35.204426
112.738765,25.746991
120.736340,31.297403
120.631194,31.249011
116.980561,33.640423
109.113465,21.474434
120.709909,36.928333
120.004376,30.281135
102.735928,25.095630
117.829183,39.326354
123.380115,41.814272
120.144182,32.509936
113.497864,23.173640
108.965252,34.213222
115.970666,28.711884
113.579212,22.204944
120.277849,29.717758
103.955285,30.569892
108.919275,34.175129
108.625451,21.966033
