hop C and Portion of Shop D on Ground Floor, Chevalier House, Nos. 45-51 Chatham Road South, Kowloon
Stall No. T-SK73, G/F, Shan King Shopping Centre, Shan King Estate, No.1, Ming Kam Road, Tuen Mun, N.T.
Shop No.28, Ground floor 1 On Ping street, Shatin, NT
Shop P4-6, G/F, Tai Po Bulding, No. 26-50 Kwong Fuk Road, Tai Po
Shop No. F104, First Floor, Multi-storey Commercial Accommodation (also known as Nam Cheong Place), Fu Cheong Estate, Sai Chuen Road, Sham Shui Po, Kowloon, Hong Kong
G/F, 14 - 22 Cheong Yat House, 99 - 103A Nam Cheong Estate, Sham Shui Po, KLN
Mongkok Building shop 4-5, G/F, No.93-95 Mongkok Road, Kowloon
Portion of Basement, Metropole Building, No. 416-426 King's Road, North Point, Hong Kong
Shop 125, Level One, Metro Harbour Plaza, 8 Fuk Lee Street, Tai Kok Tsui, KLN
Shop 2-9, G/F Supernova Stand, 28 Mercury Street, North Point, Hong Kong
Shop 101, 1/F, Mei Tin Shopping Centre, Mei Tin Estate, Tai Wai, Shatin, NT
Shop 29-32, G/F Shopping Centre, Mei Lam Estate, Shatin, NT
G/F, at the Cinema, No.69-71, Broadway Street, Mei Foo Sun Chuen, Kowloon
Shop 39-45, 7A Glee Path, Mei Foo Sun Chuen Stage II, Lai Chi Kok, Kowloon
Shop 01, 7/F, MegaBox 38 Wang Chiu Road, Kowloon Bay, Kowloon
Shop137, Level 1, Metro City,Phase III, Tseung Kwan O, Sai Kung, New Territories
Shop 26 & 27, Level 3, Commercial Ctr, Northern Block, Mayfair Gardens, TYTL 83, Tsing Yi, NT
Unit A, G/F, Tung Nam Factory Building, 40 Ma Tau Kok Road, Tokwawan
Shop No. 2, G/F, Maritime Bay, No 18 Pui Shing Road, Tseung Kwan O, Sai Kung, NT
Shop 110, G/F Lung Poon Court Shopping Centre, Lung Poon Court, Diamond Hill, Kowloon
